============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
    TREEUSDT    Buy   60              False         Fail          174.0        0.425400          0.415800               No
   NEIROUSDT    Buy   60              False      Success            0.0        0.000445          0.000400               No
   EIGENUSDT    Buy   60              False      Success           10.0        1.602100          1.528700               No
    MYROUSDT    Buy   67              False      Success          146.0        0.030890          0.029700               No
     BIOUSDT    Buy   60              False      Success           34.0        0.120660          0.117050               No
  ALPINEUSDT    Buy   89              False      Success          110.0        1.440700          1.381700               No
    PNUTUSDT    Buy   60              False      Success           42.0        0.264350          0.259270               No

--- SELL SIGNALS ---
   Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
GTCUSDT   Sell   57              False Success           66.0           0.442             0.516               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_15-48-10.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_21-18-10.json =====
Signal Generation Time (UTC): 2025-08-13 15:48:10

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           32.0     4752.540000       4649.120000               No
     BTCUSDT    Buy   60              False      Success          135.0   121932.000000     120852.400000               No
     SOLUSDT    Buy   60              False      Success          100.0      200.750000        196.980000               No
     XRPUSDT    Buy   60              False Inconclusive            NaN        3.279200          3.243500               No
FARTCOINUSDT    Buy   60              False      Success          145.0        1.101800          1.056600               No
    DOGEUSDT    Buy   60              False Inconclusive            NaN        0.243900          0.240200               No
1000PEPEUSDT    Buy   60              False Inconclusive            NaN        0.012280          0.012013               No
    LINKUSDT    Buy   60              False      Success           20.0       23.861000         23.446000               No
     ENAUSDT    Buy   75              False      Success           32.0        0.791600          0.765700               No
     SUIUSDT    Buy   60              False      Success          125.0        4.006700          3.935300               No
     ADAUSDT    Buy   60              False Inconclusive            NaN        0.878100          0.866400               No
     BNBUSDT    Buy   60              False         Fail          170.0      849.150000        838.010000               No
     LTCUSDT    Buy   60              False         Fail           78.0      131.200000        128.880000               No
    PUMPUSDT    Buy   75              False      Success           27.0        0.003950          0.003800               No
     UNIUSDT    Buy   60              False      Success           32.0       12.256000         11.893000               No
   CYBERUSDT    Buy   60              False      Success           27.0        2.901000          2.842000               No
     WIFUSDT    Buy   60              False         Fail          169.0        1.045900          1.017100               No
   PENGUUSDT    Buy   60              False      Success           32.0        0.037488          0.036466               No
     ARBUSDT    Buy   89              False      Success           33.0        0.560600          0.535200               No
    AVAXUSDT    Buy   60              False      Success           43.0       25.330000         24.944000               No
1000BONKUSDT    Buy   60              False      Success           39.0        0.027096          0.025984               No
     SKLUSDT    Buy   60              False      Success           22.0        0.030250          0.027790               No
   TRUMPUSDT    Buy   89              False         Fail          157.0        9.652000          9.440000               No
    AAVEUSDT    Buy   60              False      Success           18.0      329.980000        322.370000               No
    HYPEUSDT    Buy   60              False      Success           31.0       47.497000         45.285000               No
     BCHUSDT    Buy   60              False         Fail          102.0      622.390000        610.230000               No
   PROVEUSDT    Buy   60              False      Success           38.0        1.495000          1.446700               No
     LDOUSDT    Buy   60              False      Success           16.0        1.529500          1.472800               No
     MYXUSDT    Buy   60              False         Fail           60.0        1.831800          1.754000              Yes
     DOTUSDT    Buy   60              False         Fail          170.0        4.254000          4.175000               No
     CRVUSDT    Buy   60              False      Success           32.0        1.047000          1.021000               No
    ZORAUSDT    Buy   89              False      Success           11.0        0.122890          0.116510               No
      OPUSDT    Buy   60              False      Success           33.0        0.864200          0.830500               No
     XLMUSDT    Buy   60              False Inconclusive            NaN        0.452660          0.446250               No
    ONDOUSDT    Buy   60              False Inconclusive            NaN        1.073800          1.055000               No
     SEIUSDT    Buy   60              False      Success           32.0        0.356400          0.347100               No
     ETCUSDT    Buy   60              False      Success           33.0       24.252000         23.847000               No
     TONUSDT    Buy   80              False      Success          124.0        3.507200          3.452400               No
   TOWNSUSDT    Buy   60              False         Fail           59.0        0.034240          0.033030               No
     APTUSDT    Buy   60              False      Success           42.0        5.068500          4.906200               No
    NEARUSDT    Buy   60              False      Success          145.0        2.950000          2.897000               No
1000SHIBUSDT    Buy   60              False      Success           89.0        0.013910          0.013709               No
     WLDUSDT    Buy   60              False      Success           45.0        1.123200          1.078300               No
      INUSDT    Buy   89              False      Success            7.0        0.113800          0.101030               No
    HBARUSDT    Buy   60              False Inconclusive            NaN        0.265140          0.261600               No
   ETHFIUSDT    Buy   89              False         Fail          169.0        1.313700          1.257000               No
     SPKUSDT    Buy   60              False      Success           28.0        0.094970          0.089100               No
     TIAUSDT    Buy   80              False      Success           22.0        1.998000          1.946700               No
     FILUSDT    Buy   80              False Inconclusive            NaN        2.733000          2.685000               No
    HIFIUSDT    Buy   80              False      Success           21.0        0.095560          0.092640               No
     TAOUSDT    Buy   60              False         Fail          158.0      396.670000        385.840000               No
  PENDLEUSDT    Buy   60              False      Success           39.0        5.731200          5.560100               No
     GTCUSDT    Buy   75              False         Fail           68.0        0.509000          0.442000               No
     INJUSDT    Buy   60              False      Success           89.0       16.065000         15.502000               No
    BOMEUSDT    Buy   60              False         Fail          169.0        0.002165          0.002096               No
     WCTUSDT    Buy   60              False         Fail          158.0        0.351100          0.343400               No
     JUPUSDT    Buy   60              False Inconclusive            NaN        0.553000          0.540700               No
   EIGENUSDT    Buy   80              False      Success           43.0        1.602100          1.536500               No
    TREEUSDT    Buy   60              False         Fail           73.0        0.425400          0.412200               No
   NEIROUSDT    Buy   60              False      Success            1.0        0.000445          0.000400               No
    MYROUSDT    Buy   60              False Inconclusive            NaN        0.030890          0.029700               No
  ALPINEUSDT    Buy   60              False      Success           73.0        1.440700          1.381700               No
     BIOUSDT    Buy   60              False      Success           19.0        0.120660          0.116530               No
 VIRTUALUSDT    Buy   60              False         Fail          170.0        1.376600          1.337600               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_15-59-51.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_21-29-51.json =====
Signal Generation Time (UTC): 2025-08-13 15:59:51

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False      Success           17.0     4752.540000       4658.160000               No
     BTCUSDT    Buy   60              False      Success           15.0   121932.000000     120897.300000               No
     SOLUSDT    Buy   60              False      Success           27.0      200.750000        197.060000               No
     XRPUSDT    Buy   60              False Inconclusive            NaN        3.279200          3.243500               No
FARTCOINUSDT    Buy   60              False      Success          133.0        1.101800          1.056600               No
    DOGEUSDT    Buy   60              False      Success           27.0        0.243900          0.240200               No
1000PEPEUSDT    Buy   60              False Inconclusive            NaN        0.012280          0.012013               No
    LINKUSDT    Buy   60              False      Success           14.0       23.861000         23.485000               No
     SUIUSDT    Buy   60              False      Success          107.0        4.006700          3.938200               No
     ADAUSDT    Buy   60              False Inconclusive            NaN        0.878100          0.866400               No
     BNBUSDT    Buy   75              False      Success           20.0      849.150000        838.010000               No
     LTCUSDT    Buy   60              False      Success           26.0      131.200000        128.880000               No
    PUMPUSDT    Buy   75              False      Success           15.0        0.003950          0.003800               No
     UNIUSDT    Buy   60              False      Success           20.0       12.256000         11.893000               No
     ARBUSDT    Buy   75              False      Success           21.0        0.560600          0.537100               No
     WIFUSDT    Buy   60              False         Fail          157.0        1.045900          1.017100               No
   CYBERUSDT    Buy   60              False      Success           25.0        2.901000          2.846000               No
   PENGUUSDT    Buy   60              False      Success           20.0        0.037488          0.036600               No
    AVAXUSDT    Buy   60              False      Success           21.0       25.330000         24.981000               No
     SKLUSDT    Buy   75              False      Success            5.0        0.030250          0.027790               No
   TRUMPUSDT    Buy   60              False         Fail          158.0        9.652000          9.440000               No
1000BONKUSDT    Buy   75              False      Success           21.0        0.027096          0.026000               No
    AAVEUSDT    Buy   60              False      Success            6.0      329.980000        322.930000               No
    HYPEUSDT    Buy   75              False      Success           15.0       47.497000         45.294000               No
   PROVEUSDT    Buy   60              False      Success           15.0        1.496000          1.446700               No
     LDOUSDT    Buy   60              False      Success            4.0        1.529500          1.472800               No
     MYXUSDT    Buy   60              False         Fail           51.0        1.831800          1.754000              Yes
    SOONUSDT    Buy   67              False      Success           26.0        0.419940          0.394000               No
     DOTUSDT    Buy   60              False Inconclusive            NaN        4.254000          4.175000               No
     CRVUSDT    Buy   60              False      Success           19.0        1.047000          1.021000               No
    ZORAUSDT    Buy   67              False      Success           19.0        0.122890          0.115700               No
      OPUSDT    Buy   60              False      Success           20.0        0.864200          0.828000               No
     XLMUSDT    Buy   60              False      Success           27.0        0.452660          0.446250               No
