============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later

--- SELL SIGNALS ---
   Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
INJUSDT   Sell   58              False Success             10          15.946             16.51               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_21-49-16.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_03-19-16.json =====
Signal Generation Time (UTC): 2025-08-13 21:49:16

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False    Fail             11     4783.620000       4703.930000              Yes
     SOLUSDT    Buy   60              False Success             52      204.000000        200.140000               No
     XRPUSDT    Buy   60              False    Fail              2        3.304800          3.252200              Yes
    DOGEUSDT    Buy   60              False Success             31        0.247650          0.242090               No
FARTCOINUSDT    Buy   60              False Success             52        1.146200          1.075200               No
     ENAUSDT    Buy   67              False Success             45        0.784000          0.761000               No
    LINKUSDT    Buy   60              False Success             44       24.162000         23.815000               No
     BNBUSDT    Buy   60              False Success             19      851.990000        841.930000               No
     ADAUSDT    Buy   60              False Success             17        0.930900          0.880900               No
     ARBUSDT    Buy   67              False    Fail              9        0.582800          0.554000              Yes
     UNIUSDT    Buy   60              False Success             52       12.281000         12.054000               No
    PUMPUSDT    Buy   60              False Success             63        0.004002          0.003862               No
     SKLUSDT    Buy   60              False Success             18        0.033190          0.027910               No
     WIFUSDT    Buy   67              False Success             52        1.045200          1.021300               No
    AVAXUSDT    Buy   60              False Success             52       25.688000         25.250000               No
    HYPEUSDT    Buy   67              False Success             47       48.068000         46.361000               No
    AAVEUSDT    Buy   60              False Success             46      335.730000        326.860000               No
   PROVEUSDT    Buy   67              False Success             53        1.518900          1.441900               No
     BCHUSDT    Buy   60              False Success             13      620.760000        611.000000               No
     MYXUSDT    Buy   60              False    Fail             11        1.980000          1.772000              Yes
     LDOUSDT    Buy   60              False Success             64        1.521500          1.481500               No
     GTCUSDT    Buy   60              False    Fail            136        0.467000          0.409000               No
      OPUSDT    Buy   60              False Success             17        0.883400          0.843500               No
    SOONUSDT    Buy   60              False    Fail             30        0.409550          0.387110               No
     DOTUSDT    Buy   60              False Success             31        4.323000          4.227000               No
     CRVUSDT    Buy   60              False Success             19        1.059000          1.032000               No
   TOWNSUSDT    Buy   60              False Success             76        0.034200          0.033130               No
     APTUSDT    Buy   60              False Success             57        5.092000          4.998800               No
    NEARUSDT    Buy   60              False Success              6        3.049000          2.965000               No
   ETHFIUSDT    Buy   60              False Success             33        1.389800          1.306300               No
     WLDUSDT    Buy   60              False Success             40        1.140800          1.102300               No
    ZORAUSDT    Buy   60              False    Fail              2        0.124960          0.114700              Yes
     AIOUSDT    Buy   75              False    Fail            108        0.111980          0.087860               No
     ETCUSDT    Buy   60              False Success             31       24.474000         24.018000               No
     TIAUSDT    Buy   60              False Success             39        2.026800          1.976400               No
1000SHIBUSDT    Buy   60              False Success             19        0.014034          0.013811               No
    ONDOUSDT    Buy   60              False Success             47        1.085600          1.065800               No
     TRXUSDT    Buy   60              False Success             29        0.362840          0.360680               No
     INJUSDT    Buy   75              False Success             45       16.510000         15.939000               No
     FILUSDT    Buy   60              False Success             31        2.762000          2.709000               No
  PENDLEUSDT    Buy   60              False Success             52        5.695200          5.550000               No
     SPKUSDT    Buy   60              False    Fail             35        0.094990          0.091630               No
   EIGENUSDT    Buy   75              False Success             52        1.673900          1.610000               No
     XNYUSDT    Buy   67              False    Fail              4        0.016400          0.013805               No
      INUSDT    Buy   60              False Success             48        0.104130          0.101160               No
    BOMEUSDT    Buy   67              False Success              1        0.002155          0.002100               No
      OGUSDT    Buy   60              False Success             51       16.497000         15.418000               No
    HIFIUSDT    Buy   67              False Success             16        0.108600          0.095430               No
      ZKUSDT    Buy   60              False Success             44        0.072410          0.068620               No
 VIRTUALUSDT    Buy   60              False Success             52        1.398000          1.358600               No
  RESOLVUSDT    Buy   60              False Success             43        0.192950          0.186660               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_22-00-27.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_03-30-27.json =====
Signal Generation Time (UTC): 2025-08-13 22:00:27

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False Success             20     4783.620000       4708.410000               No
     SOLUSDT    Buy   60              False Success             41      204.000000        200.180000               No
     XRPUSDT    Buy   67              False Success             20        3.309000          3.255300               No
    DOGEUSDT    Buy   60              False Success             36        0.247650          0.242890               No
FARTCOINUSDT    Buy   60              False Success             41        1.146200          1.081500               No
     ENAUSDT    Buy   60              False Success             41        0.784000          0.761100               No
     SUIUSDT    Buy   60              False Success             36        4.052000          3.970300               No
    LINKUSDT    Buy   60              False Success             36       24.162000         23.795000               No
     BNBUSDT    Buy   60              False Success             20      851.990000        843.540000               No
     ADAUSDT    Buy   60              False Success             27        0.938700          0.883800               No
     ARBUSDT    Buy   60              False Success              8        0.582800          0.550600               No
     LTCUSDT    Buy   60              False Success             14      132.380000        129.270000               No
     UNIUSDT    Buy   60              False Success             41       12.281000         12.058000               No
    PUMPUSDT    Buy   60              False Success             52        0.004002          0.003857               No
     SKLUSDT    Buy   60              False Success              7        0.033190          0.027910               No
    AVAXUSDT    Buy   60              False Success             36       25.688000         25.297000               No
   PENGUUSDT    Buy   60              False Success             35        0.037952          0.037006               No
   TRUMPUSDT    Buy   60              False Success             34        9.730000          9.540000               No
    AAVEUSDT    Buy   60              False Success             20      335.730000        326.920000               No
   PROVEUSDT    Buy   60              False Success             46        1.518900          1.432700               No
     BCHUSDT    Buy   60              False Success              8      621.000000        611.930000               No
     MYXUSDT    Buy   60              False Success             15        1.980000          1.768300               No
   CYBERUSDT    Buy   60              False Success             52        2.970000          2.824000               No
     LDOUSDT    Buy   60              False Success             36        1.521500          1.481500               No
     GTCUSDT    Buy   60              False    Fail            125        0.467000          0.406000               No
      OPUSDT    Buy   89              False Success             10        0.883400          0.844100               No
    SOONUSDT    Buy   60              False    Fail             18        0.409550          0.387110               No
     DOTUSDT    Buy   60              False Success             33        4.323000          4.240000               No
     CRVUSDT    Buy   60              False Success              8        1.059000          1.031000               No
     SEIUSDT    Buy   60              False Success             41        0.358500          0.351100               No
   TOWNSUSDT    Buy   60              False    Fail             94        0.034200          0.032950               No
    NEARUSDT    Buy   80              False Success             33        3.049000          2.976000               No
     APTUSDT    Buy   60              False Success             46        5.092000          4.998800               No
   ETHFIUSDT    Buy   75              False Success             29        1.389800          1.311300               No
     WLDUSDT    Buy   60              False Success             29        1.140800          1.106100               No
     XLMUSDT    Buy   60              False Success             31        0.458610          0.450060               No
     TONUSDT    Buy   60              False Success             41        3.565400          3.493300               No
     AIOUSDT    Buy   75              False Success             79        0.111980          0.087860               No
     ETCUSDT    Buy   60              False Success             20       24.474000         24.049000               No
    ZORAUSDT    Buy   89              False    Fail              9        0.124960          0.114200              Yes
     TIAUSDT    Buy   60              False Success             47        2.026800          1.972500               No
1000SHIBUSDT    Buy   60              False Success              8        0.014034          0.013834               No
    ONDOUSDT    Buy   60              False Success             36        1.085600          1.067200               No
    HBARUSDT    Buy   60              False Success             36        0.268910          0.262950               No
     TRXUSDT    Buy   60              False Success             18        0.362840          0.360790               No
     INJUSDT    Buy   75              False    Fail             24       16.510000         15.916000              Yes
     FILUSDT    Buy   60              False Success             32        2.762000          2.714000               No
  PENDLEUSDT    Buy   60              False Success             31        5.695200          5.550000               No
     SPKUSDT    Buy   89              False    Fail             13        0.094990          0.091270               No
   EIGENUSDT    Buy   75              False Success             40        1.673900          1.610000               No
     XNYUSDT    Buy   75              False    Fail             19        0.016300          0.013805               No
     TAOUSDT    Buy   67              False Success             41      395.270000        387.230000               No
      INUSDT    Buy   60              False Success             37        0.104130          0.101160               No
    BOMEUSDT    Buy   60              False Success              1        0.002155          0.002100               No
      OGUSDT    Buy   60              False Success             43       16.497000         15.431000               No
    HIFIUSDT    Buy   67              False Success             11        0.108600          0.095430               No
      ZKUSDT    Buy   60              False Success             33        0.072410          0.068570               No
 VIRTUALUSDT    Buy   60              False Success             41        1.398000          1.354500               No
  RESOLVUSDT    Buy   60              False Success             32        0.192950          0.185680               No
    MYROUSDT    Buy   60              False Success             31        0.030840          0.029780               No
    PNUTUSDT    Buy   60              False Success             36        0.266850          0.260800               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_22-41-10.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_04-11-10.json =====
Signal Generation Time (UTC): 2025-08-13 22:41:10

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False Success              6     4783.620000       4706.000000               No
     BTCUSDT    Buy   89              False Success              1   124545.600000     122900.000000               No
     SOLUSDT    Buy   60              False Success              4      204.680000        200.290000               No
     XRPUSDT    Buy   60              False Success              5        3.330400          3.268200               No
    DOGEUSDT    Buy   80              False Success              7        0.248300          0.242570               No
     ENAUSDT    Buy   80              False Success             10        0.784000          0.754400               No
1000PEPEUSDT    Buy   60              False Success             26        0.012430          0.012078               No
     SUIUSDT    Buy   89              False Success              4        4.073400          3.992300               No
FARTCOINUSDT    Buy   80              False Success              4        1.146200          1.093500               No
     BNBUSDT    Buy   89              False Success              8      851.990000        844.310000               No
     ARBUSDT    Buy   60              False Success              7        0.582800          0.545800               No
     LTCUSDT    Buy   89              False Success             92      132.570000        130.470000               No
     UNIUSDT    Buy   80              False Success              8       12.281000         12.002000               No
     SKLUSDT    Buy   75              False Success             27        0.033190          0.028780               No
    PUMPUSDT    Buy   60              False Success             11        0.004002          0.003844               No
1000BONKUSDT    Buy   60              False Success              5        0.027764          0.026901               No
     WIFUSDT    Buy   60              False Success              4        1.050000          1.027700               No
    AVAXUSDT    Buy   60              False Success              4       25.688000         25.250000               No
    HYPEUSDT    Buy   60              False Success              3       48.068000         47.046000               No
   PENGUUSDT    Buy   89              False Success              1        0.037952          0.036890               No
   TRUMPUSDT    Buy   80              False Success              4        9.731000          9.556000               No
    AAVEUSDT    Buy   89              False Success             11      335.730000        328.060000               No
   PROVEUSDT    Buy   60              False Success              5        1.518900          1.423200               No
     BCHUSDT    Buy   89              False Success              8      623.710000        615.540000               No
     MYXUSDT    Buy   80              False Success             14        1.980000          1.738000               No
     LDOUSDT    Buy   60              False Success             13        1.521500          1.488200               No
     GTCUSDT    Buy   80              False    Fail             31        0.467000          0.406000               No
      OPUSDT    Buy   67              False Success              6        0.883400          0.839200               No
   CYBERUSDT    Buy   60              False Success              7        2.970000          2.820000               No
    SOONUSDT    Buy   67              False Success             21        0.407710          0.387110               No
     DOTUSDT    Buy   89              False Success              5        4.329000          4.246000               No
     SEIUSDT    Buy   60              False Success              7        0.359300          0.349700               No
   TOWNSUSDT    Buy   60              False    Fail             53        0.034200          0.032910               No
     APTUSDT    Buy   60              False Success             10        5.092000          4.994800               No
   ETHFIUSDT    Buy   67              False Success              9        1.389800          1.312300               No
     WLDUSDT    Buy   89              False Success              4        1.140800          1.105300               No
     XLMUSDT    Buy   89              False Success             10        0.471910          0.451570               No
     AIOUSDT    Buy   60              False Success             28        0.111980          0.087860               No
     ETCUSDT    Buy   89              False Success              6       24.474000         23.915000               No
     TIAUSDT    Buy   60              False Success              6        2.026800          1.964200               No
     TONUSDT    Buy   80              False Success              8        3.565400          3.511300               No
1000SHIBUSDT    Buy   80              False Success              7        0.014036          0.013811               No
    ONDOUSDT    Buy   80              False Success              4        1.086600          1.064000               No
    HBARUSDT    Buy   60              False Success              4        0.270460          0.264700               No
     TRXUSDT    Buy   89              False    Fail             35        0.364180          0.360790              Yes
     FILUSDT    Buy   89              False Success              5        2.762000          2.705000               No
  PENDLEUSDT    Buy   60              False Success              7        5.695200          5.540200               No
     SPKUSDT    Buy   60              False Success              9        0.094990          0.091050               No
     XNYUSDT    Buy   75              False Success             46        0.016263          0.013805               No
   EIGENUSDT    Buy   89              False Success             21        1.673900          1.608100               No
     TAOUSDT    Buy   60              False Success              1      395.270000        389.070000               No
    BOMEUSDT    Buy   60              False Success              1        0.002178          0.002100               No
      OGUSDT    Buy   62              False Success            113       16.497000         15.528000               No
      ZKUSDT    Buy   60              False Success              8        0.072410          0.068370               No
 VIRTUALUSDT    Buy   60              False Success              4        1.398000          1.348500               No
  RESOLVUSDT    Buy   89              False Success              5        0.192950          0.185360               No
    MYROUSDT    Buy   60              False    Fail             34        0.030840          0.029770               No
    TREEUSDT    Buy   60              False Success              4        0.429000          0.419300               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_22-52-23.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_04-22-23.json =====
Signal Generation Time (UTC): 2025-08-13 22:52:23

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   89              False         Fail            4.0     4783.620000       4706.000000               No
     BTCUSDT    Buy   67              False         Fail            5.0   124545.600000     122900.000000              Yes
1000PEPEUSDT    Buy   89              False         Fail            4.0        0.012444          0.012078               No
    LINKUSDT    Buy   89              False         Fail            5.0       24.162000         23.771000               No
     LTCUSDT    Buy   67              False      Success           99.0      132.600000        130.470000               No
     SKLUSDT    Buy   75              False      Success           38.0        0.033190          0.028900               No
    PUMPUSDT    Buy   89              False      Success            1.0        0.004002          0.003844               No
    AVAXUSDT    Buy   89              False         Fail            5.0       25.688000         25.250000               No
     MYXUSDT    Buy   80              False      Success            3.0        1.980000          1.734110               No
     LDOUSDT    Buy   89              False      Success           88.0        1.521500          1.488200               No
     GTCUSDT    Buy   60              False         Fail           21.0        0.467000          0.406000               No
      OPUSDT    Buy   67              False         Fail           16.0        0.883400          0.839200               No
   CYBERUSDT    Buy   60              False      Success           70.0        2.970000          2.820000               No
    SOONUSDT    Buy   60              False         Fail           35.0        0.407710          0.387110               No
     SEIUSDT    Buy   89              False         Fail            6.0        0.361000          0.349700              Yes
   TOWNSUSDT    Buy   89              False         Fail           40.0        0.034200          0.032910               No
     AIOUSDT    Buy   75              False      Success           17.0        0.111980          0.087860               No
     TRXUSDT    Buy   89              False         Fail            6.0        0.364180          0.360790              Yes
     SPKUSDT    Buy   89              False         Fail           18.0        0.094990          0.091050               No
     XNYUSDT    Buy   75              False         Fail           45.0        0.016263          0.013805               No
      INUSDT    Buy   89              False         Fail           16.0        0.104130          0.100760               No
      OGUSDT    Buy   80              False      Success          102.0       16.497000         15.528000               No
    HIFIUSDT    Buy   60              False Inconclusive            NaN        0.102060          0.096080               No
      ZKUSDT    Buy   89              False         Fail           21.0        0.072290          0.068370               No
    MYROUSDT    Buy   60              False         Fail            6.0        0.030840          0.029770               No

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
    DOGEUSDT   Sell   58              False Success            5.0        0.242570          0.249120               No
     SUIUSDT   Sell   58              False Success            5.0        3.992300          4.079300               No
FARTCOINUSDT   Sell   58              False Success            5.0        1.097600          1.155700               No
     BNBUSDT   Sell   58              False Success            5.0      844.310000        851.990000               No
     ADAUSDT   Sell   58              False    Fail            9.0        0.898800          0.959200               No
   PENGUUSDT   Sell   58              False Success            5.0        0.036890          0.037952               No
   TRUMPUSDT   Sell   58              False Success            4.0        9.556000          9.753000               No
    AAVEUSDT   Sell   58              False    Fail           31.0      328.060000        335.730000              Yes
     BCHUSDT   Sell   58              False Success            6.0      615.620000        623.990000               No
     DOTUSDT   Sell   58              False Success            6.0        4.246000          4.329000               No
     CRVUSDT   Sell   58              False Success            6.0        1.027000          1.059000               No
    NEARUSDT   Sell   58              False Success           18.0        2.971000          3.049000               No
   ETHFIUSDT   Sell   58              False    Fail           58.0        1.312300          1.389800              Yes
     WLDUSDT   Sell   58              False Success           56.0        1.105300          1.140800               No
     ETCUSDT   Sell   58              False Success            6.0       23.915000         24.474000               No
1000SHIBUSDT   Sell   58              False Success          109.0        0.013811          0.014095               No
    ONDOUSDT   Sell   58              False Success            5.0        1.064000          1.086600               No
    HBARUSDT   Sell   58              False Success            6.0        0.265200          0.272400               No
     INJUSDT   Sell   58              False Success           23.0       15.825000         16.510000               No
     FILUSDT   Sell   58              False Success           29.0        2.705000          2.762000               No
   EIGENUSDT   Sell   58              False Success          103.0        1.606200          1.673900               No
     TAOUSDT   Sell   58              False Success            5.0      389.070000        395.270000               No
  RESOLVUSDT   Sell   58              False Success           14.0        0.185360          0.192950               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_23-35-53.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_05-05-53.json =====
Signal Generation Time (UTC): 2025-08-13 23:35:53

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False         Fail           41.0     4783.620000       4706.000000               No
     BTCUSDT    Buy   89              False      Success           37.0   124545.600000     123272.100000               No
     SOLUSDT    Buy   89              False         Fail           21.0      204.820000        200.640000              Yes
     XRPUSDT    Buy   60              False      Success           56.0        3.339300          3.270100               No
    DOGEUSDT    Buy   60              False      Success           54.0        0.249350          0.242570               No
1000PEPEUSDT    Buy   60              False         Fail           10.0        0.012444          0.012078              Yes
     ENAUSDT    Buy   60              False         Fail           60.0        0.789800          0.754400              Yes
     SUIUSDT    Buy   75              False         Fail           22.0        4.104600          3.992300              Yes
    LINKUSDT    Buy   60              False      Success          117.0       24.147000         23.771000               No
     BNBUSDT    Buy   75              False      Success           56.0      851.990000        844.310000               No
     ARBUSDT    Buy   60              False         Fail           60.0        0.576200          0.545800               No
     LTCUSDT    Buy   75              False      Success           47.0      133.300000        130.550000               No
     SKLUSDT    Buy   89              False      Success           35.0        0.033190          0.028900               No
    PUMPUSDT    Buy   60              False         Fail           41.0        0.004000          0.003844              Yes
1000BONKUSDT    Buy   89              False         Fail           59.0        0.027757          0.026901               No
     WIFUSDT    Buy   60              False         Fail           24.0        1.055000          1.027700              Yes
    AVAXUSDT    Buy   60              False         Fail           67.0       25.686000         25.250000               No
   PENGUUSDT    Buy   75              False         Fail           60.0        0.037893          0.036890               No
    HYPEUSDT    Buy   89              False         Fail           81.0       48.068000         47.096000               No
   TRUMPUSDT    Buy   89              False      Success           51.0        9.988000          9.556000               No
    AAVEUSDT    Buy   67              False      Success            1.0      335.730000        328.060000               No
   PROVEUSDT    Buy   60              False      Success           24.0        1.518900          1.422000               No
     MYXUSDT    Buy   60              False         Fail           51.0        1.863900          1.710600               No
     BCHUSDT    Buy   75              False         Fail           24.0      626.660000        615.650000              Yes
      OPUSDT    Buy   60              False      Success            2.0        0.882900          0.839200               No
     GTCUSDT    Buy   60              False         Fail           28.0        0.455000          0.406000               No
     LDOUSDT    Buy   60              False      Success           13.0        1.521500          1.488200               No
   CYBERUSDT    Buy   60              False         Fail           25.0        2.970000          2.820000              Yes
     DOTUSDT    Buy   60              False      Success           43.0        4.329000          4.246000               No
    SOONUSDT    Buy   67              False         Fail           12.0        0.399880          0.387110               No
     CRVUSDT    Buy   60              False         Fail           19.0        1.053000          1.027000               No
     SEIUSDT    Buy   89              False         Fail           36.0        0.361000          0.349700              Yes
    NEARUSDT    Buy   60              False      Success           56.0        3.019000          2.971000               No
   ETHFIUSDT    Buy   67              False         Fail           28.0        1.389800          1.312300               No
     WLDUSDT    Buy   75              False         Fail           12.0        1.134000          1.105300               No
     APTUSDT    Buy   75              False         Fail           65.0        5.095500          4.994800               No
     XLMUSDT    Buy   60              False         Fail           22.0        0.471910          0.451570              Yes
     AIOUSDT    Buy   60              False         Fail            1.0        0.108380          0.087860               No
     ETCUSDT    Buy   60              False         Fail           60.0       24.431000         23.915000               No
     TIAUSDT    Buy   60              False         Fail           59.0        2.016400          1.964200               No
     TONUSDT    Buy   89              False      Success           57.0        3.565400          3.523200               No
1000SHIBUSDT    Buy   60              False      Success           54.0        0.014095          0.013811               No
    ZORAUSDT    Buy   67              False         Fail           10.0        0.124080          0.113500               No
    ONDOUSDT    Buy   75              False         Fail           22.0        1.086600          1.064000               No
    HBARUSDT    Buy   75              False      Success           56.0        0.272400          0.265500               No
     INJUSDT    Buy   60              False         Fail           59.0       16.357000         15.825000               No
     TRXUSDT    Buy   75              False         Fail           86.0        0.364180          0.361210              Yes
     FILUSDT    Buy   60              False         Fail           65.0        2.750000          2.705000               No
   EIGENUSDT    Buy   75              False         Fail           59.0        1.672600          1.603200               No
  PENDLEUSDT    Buy   89              False         Fail           24.0        5.695200          5.540200               No
     XNYUSDT    Buy   75              False         Fail            1.0        0.015678          0.013805               No
     SPKUSDT    Buy   60              False         Fail            7.0        0.093530          0.091050               No
     TAOUSDT    Buy   75              False         Fail           15.0      396.940000        389.070000              Yes
    BOMEUSDT    Buy   89              False Inconclusive            NaN        0.002178          0.002100               No
      INUSDT    Buy   75              False         Fail           12.0        0.103760          0.100640               No
      ZKUSDT    Buy   60              False         Fail           27.0        0.071320          0.068370               No
      OGUSDT    Buy   60              False      Success           46.0       16.666000         15.582000               No
 VIRTUALUSDT    Buy   60              False         Fail           24.0        1.387800          1.348500               No
    HIFIUSDT    Buy   60              False         Fail           94.0        0.099710          0.096080               No
  RESOLVUSDT    Buy   60              False         Fail           24.0        0.190210          0.185360               No
    MYROUSDT    Buy   60              False      Success           57.0        0.030850          0.029770               No
    PNUTUSDT    Buy   60              False         Fail           67.0        0.265840          0.259550               No

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
FARTCOINUSDT   Sell   58              False Success            7.0          1.1065            1.1579               No
     ADAUSDT   Sell   57              False Success           19.0          0.9033            0.9634               No



============================================================
====== CONTENTS OF: backtest_2025-08-13_23-50-03.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-14_05-20-03.json =====
Signal Generation Time (UTC): 2025-08-13 23:50:03

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     ETHUSDT    Buy   60              False         Fail           11.0     4769.000000       4706.000000               No
     BTCUSDT    Buy   75              False      Success           25.0   124545.600000     123272.100000               No
     SOLUSDT    Buy   60              False      Success           32.0      206.850000        200.640000               No
     XRPUSDT    Buy   60              False         Fail            8.0        3.339300          3.270100              Yes
    DOGEUSDT    Buy   60              False      Success           30.0        0.252230          0.242570               No
1000PEPEUSDT    Buy   60              False         Fail           59.0        0.012585          0.012078              Yes
     SUIUSDT    Buy   60              False      Success           26.0        4.113800          3.992300               No
     ENAUSDT    Buy   60              False         Fail           46.0        0.789800          0.754400              Yes
    LINKUSDT    Buy   60              False         Fail           14.0       24.147000         23.771000               No
FARTCOINUSDT    Buy   75              False         Fail           55.0        1.157900          1.106500              Yes
     ADAUSDT    Buy   75              False      Success           12.0        0.972600          0.903300               No
     BNBUSDT    Buy   75              False      Success           43.0      851.990000        844.310000               No
     ARBUSDT    Buy   60              False         Fail           46.0        0.576200          0.545800               No
     LTCUSDT    Buy   60              False      Success           24.0      133.300000        130.550000               No
     UNIUSDT    Buy   60              False      Success           42.0       12.277000         11.977000               No
     SKLUSDT    Buy   60              False      Success           20.0        0.033190          0.028900               No
1000BONKUSDT    Buy   60              False         Fail           46.0        0.027768          0.026901               No
    PUMPUSDT    Buy   80              False         Fail           27.0        0.004057          0.003844              Yes
     WIFUSDT    Buy   60              False      Success           42.0        1.065500          1.027700               No
    AVAXUSDT    Buy   60              False         Fail           11.0       25.798000         25.250000              Yes
    HYPEUSDT    Buy   89              False         Fail           59.0       48.068000         47.096000               No
   PENGUUSDT    Buy   60              False         Fail           53.0        0.037893          0.036890               No
   TRUMPUSDT    Buy   75              False      Success           40.0       10.118000          9.556000               No
    AAVEUSDT    Buy   75              False         Fail           17.0      334.020000        328.060000               No
     MYXUSDT    Buy   60              False         Fail           45.0        1.863000          1.650000               No
   PROVEUSDT    Buy   60              False      Success           10.0        1.518900          1.419600               No
     BCHUSDT    Buy   60              False      Success           32.0      626.660000        615.650000               No
      OPUSDT    Buy   60              False         Fail           45.0        0.874400          0.839200               No
     LDOUSDT    Buy   89              False         Fail           72.0        1.521500          1.488200               No
   CYBERUSDT    Buy   60              False         Fail           11.0        2.970000          2.820000              Yes
     DOTUSDT    Buy   60              False      Success           40.0        4.339000          4.246000               No
    SOONUSDT    Buy   84              False         Fail           13.0        0.399500          0.386530               No
     CRVUSDT    Buy   60              False         Fail           14.0        1.047000          1.027000               No
     SEIUSDT    Buy   60              False         Fail           22.0        0.361300          0.349700              Yes
    NEARUSDT    Buy   60              False      Success           42.0        3.039000          2.971000               No
     WLDUSDT    Buy   60              False         Fail           59.0        1.135500          1.105300              Yes
     APTUSDT    Buy   60              False         Fail           51.0        5.112500          4.994800              Yes
     AIOUSDT    Buy   75              False         Fail           32.0        0.098000          0.090200               No
     XLMUSDT    Buy   60              False      Success           34.0        0.471910          0.451570               No
     ETCUSDT    Buy   60              False         Fail           46.0       24.393000         23.915000               No
     TIAUSDT    Buy   60              False         Fail           45.0        2.016600          1.964200               No
     TONUSDT    Buy   75              False      Success           43.0        3.568400          3.523200               No
1000SHIBUSDT    Buy   60              False      Success           40.0        0.014136          0.013811               No
    ZORAUSDT    Buy   60              False         Fail           37.0        0.123490          0.113500               No
    ONDOUSDT    Buy   75              False         Fail            8.0        1.092200          1.064000              Yes
    HBARUSDT    Buy   75              False      Success           40.0        0.273310          0.265500               No
     INJUSDT    Buy   60              False         Fail           21.0       16.330000         15.825000               No
     TRXUSDT    Buy   60              False         Fail           72.0        0.364180          0.361210              Yes
     FILUSDT    Buy   60              False         Fail           51.0        2.755000          2.705000               No
     XNYUSDT    Buy   84              False      Success           40.0        0.015152          0.013951               No
   EIGENUSDT    Buy   75              False         Fail           27.0        1.672600          1.603200               No
  PENDLEUSDT    Buy   89              False         Fail           10.0        5.680900          5.540200               No
     SPKUSDT    Buy   81              False         Fail           13.0        0.093200          0.091050               No
     TAOUSDT    Buy   60              False         Fail            8.0      398.380000        389.070000              Yes
    BOMEUSDT    Buy   60              False Inconclusive            NaN        0.002187          0.002100               No
      INUSDT    Buy   60              False         Fail           75.0        0.104180          0.100640              Yes
      ZKUSDT    Buy   60              False         Fail           22.0        0.070670          0.068370               No
      OGUSDT    Buy   60              False      Success           44.0       16.666000         15.582000               No
 VIRTUALUSDT    Buy   60              False         Fail           46.0        1.394300          1.348500              Yes
  RESOLVUSDT    Buy   60              False         Fail           14.0        0.190980          0.185360              Yes
    MYROUSDT    Buy   60              False      Success           42.0        0.032040          0.029770               No
    HIFIUSDT    Buy   75              False      Success          178.0        0.100550          0.096080               No
    PNUTUSDT    Buy   60              False      Success           42.0        0.267720          0.259550               No
