===== BACKTEST REPORT FOR: signals_2025-09-04_20-26-57_STRONG.json =====
Signals processed: 70

--- BUY SIGNALS ---
                             SourceFile         Coin Signal  Confidence      Outcome  Duration(min)  Did_TP_Hit  Buy_Score  Sell_Score Num_Confluence_Buy Num_Confluence_Sell  Regime Estimated_Profit  DeservedStrongBuy  DeservedStrongSell                    SignalTimeUTC                    SignalTimeIST     rsi5m  williamsR      cci5m     cmf5m stc5m tsi5m   cvd5m hma5m alma5m  macd5m_macd  macd5m_signal  macd5m_hist  boll_upper  boll_middle  boll_lower  keltner_upper  keltner_middle  keltner_lower  marketTrend  RSI_buy_score  WilliamsR_buy_score  CCI_buy_score  CMF_buy_score  CVD_buy_score  HMA_buy_score  ALMA_buy_score  MACD_buy_score  RSI_sell_score  WilliamsR_sell_score  CCI_sell_score  CMF_sell_score  CVD_sell_score  HMA_sell_score  ALMA_sell_score  MACD_sell_score  Bollinger_buy_score  Keltner_buy_score  Bollinger_sell_score  Keltner_sell_score
signals_2025-09-04_20-26-57_STRONG.json        BCHUSDT Strong Sell          65 Inconclusive            NaN       False        NaN          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:15.611950+00:00 2025-09-04T20:26:15.611950+05:30 44.866539 -58.219178  -78.284182 -0.121139  None  None falling  down   down    -0.314954      -0.270441    -0.044514    589.419791    587.739500    586.059209     589.144500      587.739500     586.334500        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        BNBUSDT Strong Sell          55 Inconclusive            NaN       False       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:16.470723+00:00 2025-09-04T20:26:16.470723+05:30 42.905927 -54.237288  -67.798013 -0.268456  None  None falling  down   down    -0.360899      -0.389121     0.028222    849.581419    847.403500    845.225581     849.603500      847.403500     845.203500        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       TREEUSDT Strong Sell          55      Success          134.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:17.331082+00:00 2025-09-04T20:26:17.331082+05:30 42.393740 -43.076923  -20.345798 -0.088132  None  None falling  down   down    -0.001130      -0.001567     0.000437      0.321964      0.318715      0.315466       0.321565        0.318715       0.315865        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json   FARTCOINUSDT Strong Sell          65      Success            7.0        True       10.0          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:18.190985+00:00 2025-09-04T20:26:18.190985+05:30 37.852753 -68.518519  -67.346593 -0.333615  None  None falling  down   down    -0.003532      -0.003164    -0.000368      0.775230      0.759200      0.743170       0.772650        0.759200       0.745750        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       AAVEUSDT Strong Sell          65      Success            4.0        True        NaN          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:19.047266+00:00 2025-09-04T20:26:19.047266+05:30 40.499034 -66.000000  -73.213625 -0.041890  None  None falling  down   down    -1.006580      -0.930487    -0.076093    323.376033    319.904500    316.432967     322.729500      319.904500     317.079500        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json         IPUSDT Strong Sell          55      Success          100.0        True       45.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:19.906260+00:00 2025-09-04T20:26:19.906260+05:30 39.311401 -80.463243 -103.513738  0.062253  None  None falling  down   down    -0.026865      -0.029539     0.002674      7.972649      7.935065      7.897481       7.968365        7.935065       7.901765        -10.0           10.0                 15.0            0.0           10.0            0.0            0.0             0.0            10.0             0.0                   0.0            10.0             0.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       HYPEUSDT Strong Sell          55      Success            8.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:21.625066+00:00 2025-09-04T20:26:21.625066+05:30 42.464421 -45.937962  -26.938770 -0.151116  None  None falling  down   down    -0.096504      -0.118459     0.021955     45.869296     45.481300     45.093304      45.818800       45.481300      45.143800        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json   NEIROETHUSDT Strong Sell          75      Success            0.0        True       25.0          75               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:22.486742+00:00 2025-09-04T20:26:22.486742+05:30 40.059524 -97.650453 -166.920117 -0.156419  None  None falling  down   down     0.000836       0.003558    -0.002722      0.100032      0.087163      0.074295       0.098263        0.087163       0.076063        -10.0            0.0                 15.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0            10.0            10.0            15.0            10.0             10.0             10.0                  NaN               10.0                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        WIFUSDT Strong Sell          55      Success           14.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:23.346475+00:00 2025-09-04T20:26:23.346475+05:30 43.524483 -57.246377  -54.397496 -0.130626  None  None falling  down   down    -0.000896      -0.001226     0.000331      0.794321      0.789490      0.784659       0.794690        0.789490       0.784290        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        BASUSDT Strong Sell          65      Success           71.0        True       20.0          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:24.205891+00:00 2025-09-04T20:26:24.205891+05:30 33.210962 -75.129534  -99.997746 -0.149568  None  None falling  down   down    -0.000219      -0.000205    -0.000014      0.022791      0.022368      0.021944       0.022648        0.022368       0.022088        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN               10.0                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        SPKUSDT Strong Sell          55      Success           45.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:25.067133+00:00 2025-09-04T20:26:25.067133+05:30 54.202043 -50.607287    9.377007  0.103491  None  None falling  down   down     0.000391       0.000471    -0.000080      0.063537      0.062475      0.061412       0.063359        0.062475       0.061590        -10.0            0.0                  0.0            0.0           10.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0             0.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
