===== BACKTEST REPORT FOR: signals_2025-08-24_16-13-51.json =====
Signal Generation Time (UTC): 2025-08-24 10:43:51

--- BUY SIGNALS ---
    Coin          Signal        Confidence    Outcome       Duration(min)  Did_TP_Hit_Later  Estimated_Profit(%)  Buy_Score     Sell_Score    Confluence_OK  Vol_Profile_OK  Min_Profit_OK  RSI           CCI           %B            ADX15m        MACD_Hist   
    SOLUSDT       Sell          43            Success       33            No            5.60%         20            25            False         True          True          30.07         -168.54       0.063         28.19         -0.35214    
    WLFIUSDT      Sell          43            Success       5             No            11.20%        20            25            False         True          True          38.07         -156.05       0.125         34.05         -0.00030    
    XRPUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          36.79         -124.14       0.202         30.73         -0.00144    
    DOGEUSDT      Sell          43            Success       36            No            5.60%         20            25            False         True          True          35.81         -120.03       0.186         36.81         -0.00016    
    AAVEUSDT      Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          39.27         -108.50       0.215         24.19         -0.36189    
    ADAUSDT       Sell          43            Fail          155           No            5.60%         20            25            False         True          True          35.15         -124.71       0.182         35.37         -0.00072    
    ENAUSDT       Sell          43            Fail          46            No            5.60%         20            25            False         True          True          31.50         -129.53       0.130         39.83         -0.00072    
    ARBUSDT       Sell          43            Fail          50            No            5.68%         20            25            False         True          True          33.03         -108.24       0.176         40.16         -0.00075    
    LTCUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          32.08         -170.08       0.059         24.75         -0.09455    
    LDOUSDT       Sell          43            Success       63            No            5.60%         20            25            False         True          True          33.56         -141.38       0.149         49.31         -0.00108    
    TRXUSDT       Sell          43            Inconclusive  180           No            5.60%         5             25            False         True          True          42.58         -128.58       0.233         22.98         -0.00014    
    DOGSUSDT      Sell          43            Inconclusive  180           No            6.44%         20            25            False         True          True          39.69         -178.28       0.119         23.16         -0.00000    
    HAEDALUSDT    Sell          43            Success       14            No            11.20%        20            25            False         True          True          31.69         -119.64       0.079         36.30         -0.00010    
    XLMUSDT       Sell          43            Inconclusive  180           No            5.60%         20            25            False         True          True          33.12         -127.07       0.160         35.84         -0.00029    
    BERAUSDT      Sell          43            Success       26            No            6.59%         20            25            False         True          True          31.28         -188.08       0.027         20.23         -0.00448    
    HBARUSDT      Sell          43            Success       33            No            5.60%         20            25            False         True          True          31.05         -154.50       0.061         29.06         -0.00020    
    SPELLUSDT     Sell          43            Fail          0             No            9.76%         5             25            False         True          True          42.30         -120.37       0.148         18.43         -0.00000    

