===== BACKTEST REPORT FOR: signals_2025-08-20_20-12-50_STRONG.json =====
Signal Generation Time (UTC): 2025-08-20 14:42:50

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  DOTUSDT          Sell             36               89               Fail             24               3.7810           3.8770           No               -5               40               True             1                False            False            False            True             Bearish          -3               0.0066           17.1671          59.4027          113.0973         0.8346           False            False            False            True             Sell             True             base_ok          N/A            
  LDOUSDT          Sell             36               89               Fail             25               1.3132           1.3530           No               -5               40               True             1                False            False            False            True             Bearish          -3               0.0035           17.1671          59.1908          143.6797         0.9646           False            False            False            True             Sell             True             base_ok          N/A            
  MEMEUSDT         Sell             93               95               Fail             78               0.0025           0.0029           No               -5               100              True             3                True             False            True             True             Bearish          -3               0.0000           17.1671          79.8805          196.6894         1.0721           True             True             True             True             Sell             True             base_ok,profit_window  N/A            
  CRVUSDT          Sell             40               91               Fail             14               0.8520           0.8950           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0021           17.1671          60.8477          132.2537         0.8789           False            False            False            True             Sell             True             base_ok          N/A            
  MUSDT            Sell             43               89               Success          23               0.4357           0.4594           Yes              -5               40               True             1                False            False            True             True             Bearish          -3               0.0004           17.1671          56.9014          143.9490         0.8421           False            False            False            True             Sell             True             base_ok,profit_window  N/A            
  OPUSDT           Sell             40               91               Fail             24               0.7078           0.7294           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0017           17.1671          61.1463          125.8722         0.8918           False            False            False            True             Sell             True             base_ok          N/A            
  XLMUSDT          Sell             39               86               Fail             24               0.3941           0.4033           No               -5               30               True             1                False            True             False            True             Bearish          -3               0.0006           17.1671          57.1264          73.8052          0.7496           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PROVEUSDT        Sell             40               91               Fail             25               1.1533           1.1850           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0034           17.1671          63.1577          163.5807         0.9542           False            False            False            True             Sell             True             base_ok          N/A            
  DAMUSDT          Sell             45               75               Success          79               0.0646           0.0694           Yes              -10              30               True             1                False            True             True             True             Bearish          -3               0.0002           17.1671          43.5611          15.2042          0.5288           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  WLDUSDT          Sell             40               91               Fail             24               0.9273           0.9531           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0023           17.1671          62.6432          148.4929         0.9593           False            False            False            True             Sell             True             base_ok          N/A            
  NEARUSDT         Sell             40               91               Fail             24               2.4710           2.5440           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0053           17.1671          63.1496          141.1204         0.9302           False            False            False            True             Sell             True             base_ok          N/A            
  SEIUSDT          Sell             39               86               Fail             24               0.2954           0.3091           No               -5               30               True             1                False            True             False            True             Bearish          -3               0.0007           17.1671          56.6736          84.1862          0.7912           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  FILUSDT          Sell             36               89               Fail             24               2.3870           2.4420           No               -5               40               True             1                False            False            False            True             Bearish          -3               0.0044           17.1671          58.6088          111.2649         0.8501           False            False            False            True             Sell             True             base_ok          N/A            
  ONDOUSDT         Sell             36               89               Fail             24               0.9242           0.9471           No               -5               40               True             1                False            False            False            True             Bearish          -3               0.0020           17.1671          59.5430          103.5826         0.8434           False            False            False            True             Sell             True             base_ok          N/A            
  HBARUSDT         Sell             40               91               Fail             33               0.2327           0.2392           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0004           17.1671          60.9953          121.0984         0.9034           False            False            False            True             Sell             True             base_ok          N/A            
  1000SHIBUSDT     Sell             32               86               Fail             24               0.0122           0.0125           No               -5               30               True             1                False            False            False            True             Bearish          -3               0.0000           17.1671          58.9759          96.9935          0.9264           False            False            False            False            Sell             True             base_ok          N/A            
  TIAUSDT          Sell             40               91               Fail             24               1.6812           1.7288           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0038           17.1671          61.5386          124.6632         0.9191           False            False            False            True             Sell             True             base_ok          N/A            

