===== BACKTEST REPORT FOR: signals_2025-08-20_21-10-32.json =====
Signal Generation Time (UTC): 2025-08-20 15:40:32

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  DOTUSDT          Sell             27               86               Fail             124              3.810000         3.890000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.006080         15.862804        63.933319        91.281112        0.748300         False            False            False            False            Sell             False            base_ok          N/A            
  LDOUSDT          Sell             27               86               Success          16               1.313200         1.357000         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.003504         15.862804        61.462427        94.045352        0.747900         False            False            False            False            Sell             False            base_ok          N/A            
  XNYUSDT          Sell             53               92               Success          14               0.010556         0.011248         Yes              -5               55               True             2                True             False            True             True             Neutral          -1               0.000055         15.862804        83.640337        108.197583       0.850800         True             False            True             True             Sell             False            base_ok,profit_window  N/A            
  CRVUSDT          Sell             27               86               Fail             37               0.866000         0.895000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001472         15.862804        64.611860        64.610518        0.698800         False            False            False            False            Sell             False            base_ok          N/A            
  OPUSDT           Sell             27               86               Fail             41               0.714400         0.731400         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001053         15.862804        66.789359        82.019594        0.740000         False            False            False            False            Sell             False            base_ok          N/A            
  XLMUSDT          Sell             27               86               Success          13               0.397730         0.405700         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.000645         15.862804        65.881372        91.096082        0.765500         False            False            False            False            Sell             False            base_ok          N/A            
  PROVEUSDT        Sell             27               86               Success          26               1.153300         1.177300         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.001700         15.862804        65.629375        81.103478        0.732800         False            False            False            False            Sell             False            base_ok          N/A            
  DAMUSDT          Sell             39               86               Success          9                0.064630         0.069170         Yes              -5               30               True             1                False            True             True             True             Neutral          -1               0.000217         15.862804        55.303266        145.799941       0.896800         False            False            False            True             Sell             False            base_ok,vol_ok,profit_window  N/A            
  WLDUSDT          Sell             27               86               Fail             41               0.933300         0.954700         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001201         15.862804        66.029157        78.801338        0.728400         False            False            False            False            Sell             False            base_ok          N/A            
  NEARUSDT         Sell             27               86               Fail             41               2.490000         2.552000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.003200         15.862804        65.081312        77.295288        0.723100         False            False            False            False            Sell             False            base_ok          N/A            
