SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,Keltner_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_13-26-45_STRONG.json,NEIROETHUSDT,Strong Buy,85,Success,0.0,True,85,55,,,Bullish,5.04%,0,0,2025-09-05T07:56:04.311454+00:00,2025-09-05T13:26:04.311454+05:30,28.962744847227953,-94.16058394160558,-317.74515135036626,-0.16935993221224788,,,falling,down,down,-0.0007874135355474959,-0.0007949464918943864,7.532956346890441e-06,0.07196140032507255,0.07097699999999998,0.06999259967492742,0.072032,0.070977,0.069922,10.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,,0.0,15.0,10.0,
signals_2025-09-05_13-26-45_STRONG.json,AAVEUSDT,Sell,55,Success,17.0,True,20,55,,,Bullish,5.04%,0,0,2025-09-05T07:56:05.150996+00:00,2025-09-05T13:26:05.150996+05:30,67.46114517121501,-21.861471861471642,86.7295085146841,-0.015270074914662571,,,falling,down,down,0.86557158400052,0.6939544301740903,0.17161715382642972,312.4751538296041,309.43600000000004,306.396846170396,311.466,309.43600000000004,307.40600000000006,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,BNBUSDT,Strong Sell,65,Inconclusive,,False,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:06.013583+00:00,2025-09-05T13:26:06.013583+05:30,82.65156684525589,-7.706422018349894,114.57676130388987,0.22806308961589714,,,falling,up,up,1.2175132028908138,0.9024763652928189,0.31503683759799483,851.9210207360775,848.0630000000001,844.2049792639227,850.7979999999998,848.0629999999999,845.328,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,JELLYJELLYUSDT,Sell,35,Fail,48.0,False,30,35,,,Bullish,5.04%,0,0,2025-09-05T07:56:07.061063+00:00,2025-09-05T13:26:07.061063+05:30,53.42975234440586,-37.344398340248844,71.2968315577944,0.05784802457941286,,,falling,down,down,0.00023402675409942703,9.154656392974242e-05,0.0001424801901696846,0.043256801249411996,0.0404915,0.037726198750588004,0.04330150000000001,0.04049150000000001,0.03768150000000001,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,FARTCOINUSDT,Strong Sell,75,Success,11.0,True,40,75,,,Bullish,5.04%,0,0,2025-09-05T07:56:07.933967+00:00,2025-09-05T13:26:07.933967+05:30,71.38973614104941,-9.375000000000126,119.1783607890978,0.09425469349720166,,,falling,down,down,0.0034796872653305444,0.0023262014489625984,0.001153485816367946,0.7700697027497564,0.758085,0.7461002972502436,0.767535,0.758085,0.748635,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,BCHUSDT,Sell,55,Success,20.0,True,50,55,,,Bullish,5.04%,0,0,2025-09-05T07:56:08.767945+00:00,2025-09-05T13:26:08.767945+05:30,77.06862016640852,-12.677388836329612,83.27656324188304,0.2792060439088695,,,falling,up,up,2.212208704744967,1.7653686207956671,0.44684008394929964,603.5857666179079,596.0205,588.455233382092,600.8104999999998,596.0204999999999,591.2304999999999,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,25.0,15.0,0.0,0.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,HYPEUSDT,Strong Sell,75,Success,26.0,True,30,75,,,Bullish,5.04%,0,0,2025-09-05T07:56:09.606038+00:00,2025-09-05T13:26:09.606038+05:30,75.53171273254436,-12.605042016807225,93.81549003425869,0.5197245058831211,,,falling,down,down,0.18462397308292822,0.16532787007557134,0.019296103007356874,46.4520810191543,45.970749999999995,45.48941898084569,46.33324999999999,45.970749999999995,45.60825,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,WIFUSDT,Strong Sell,70,Success,84.0,True,55,70,,,Bullish,5.04%,0,0,2025-09-05T07:56:10.480667+00:00,2025-09-05T13:26:10.480667+05:30,78.49470974280403,-13.043478260869357,140.0809530380388,0.0728501014667888,,,rising,down,down,0.003858233530027011,0.0026912038007204575,0.0011670297293065535,0.8143217071623011,0.8029350000000001,0.791548292837699,0.8123850000000001,0.8029350000000001,0.793485,10.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,TAUSDT,Sell,45,Fail,14.0,False,40,45,,,Bullish,5.04%,0,0,2025-09-05T07:56:11.319602+00:00,2025-09-05T13:26:11.319602+05:30,60.42024382729463,-27.36625514403286,163.90477587134052,0.08930882010273096,,,falling,down,down,0.0004295783363157668,0.00012087493201260261,0.0003087034043031642,0.14476468446550086,0.14238,0.13999531553449915,0.14463,0.14238,0.14013,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_13-26-45_STRONG.json,ARIAUSDT,Strong Sell,65,Success,3.0,True,60,65,,,Bullish,5.04%,0,0,2025-09-05T07:56:12.156236+00:00,2025-09-05T13:26:12.156236+05:30,35.518570758039274,-95.20451339915384,-225.354929014197,-0.025515861157994472,,,falling,down,down,-0.00038781662701367625,5.069838704911285e-05,-0.0004385150140627891,0.11892504140321704,0.1156795,0.11243395859678297,0.11889450000000001,0.1156795,0.1124645,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,,10.0,15.0,10.0,
