SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Keltner_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_00-47-00_STRONG.json,BNBUSDT,Buy,40,Success,223.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:16:16.877929+00:00,2025-09-05T00:46:16.877929+05:30,47.39925942960419,-46.57258064516092,-24.748138414366597,0.0647754501658901,,,falling,up,up,-0.6181515320236031,-0.6064424888208293,-0.011709043202773772,846.2609002289315,843.9895,841.7180997710685,845.9295,843.9895,842.0495000000001,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,SOMIUSDT,Strong Sell,75,Success,2.0,True,40,75,,,Bullish,5.04%,0,0,2025-09-04T19:16:17.742445+00:00,2025-09-05T00:46:17.742445+05:30,82.90270022809887,-14.054726368159178,121.05345741149773,0.34385131929023416,,,falling,down,down,0.043244121464265095,0.03464043371868729,0.008603687745577807,0.6020572528162653,0.48755500000000007,0.3730527471837349,0.581605,0.48755500000000007,0.3935050000000001,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,0.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,TREEUSDT,Strong Sell,65,Fail,285.0,False,60,65,,,Bullish,5.04%,0,0,2025-09-04T19:16:18.624961+00:00,2025-09-05T00:46:18.624961+05:30,67.48103711788916,-15.555555555556296,180.7187284035948,0.04428609647836902,,,falling,up,up,0.0005955231741321398,0.00028398982889410646,0.0003115333452380334,0.3206480150912963,0.31812999999999997,0.3156119849087036,0.3206800000000001,0.3181300000000001,0.3155800000000001,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,,,15.0
signals_2025-09-05_00-47-00_STRONG.json,AAVEUSDT,Sell,45,Success,19.0,True,20,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:19.479234+00:00,2025-09-05T00:46:19.479234+05:30,45.982542409680875,-67.56756756756846,-44.791041791644076,-0.10205573058515426,,,falling,down,down,-0.4403202478069943,-0.5214743660590307,0.08115411825203644,309.7814441649401,308.633,307.48455583505984,309.703,308.633,307.563,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,FARTCOINUSDT,Strong Sell,60,Success,19.0,True,20,60,,,Bullish,5.04%,0,0,2025-09-04T19:16:20.367262+00:00,2025-09-05T00:46:20.367262+05:30,54.15449934444308,-19.99999999999963,37.848308746831776,-0.185228169408067,,,falling,down,down,-0.0004537911919910709,-0.0007032224640098166,0.0002494312720187457,0.7546772054421773,0.74915,0.7436227945578227,0.7533,0.74915,0.745,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,BCHUSDT,Sell,50,Inconclusive,,False,30,50,,,Bullish,5.04%,0,0,2025-09-04T19:16:21.231455+00:00,2025-09-05T00:46:21.231455+05:30,53.16631857667668,-13.235294117648822,79.10459811875683,0.0229606870796689,,,falling,down,down,0.06981745242717352,-0.07619115408820293,0.14600860651537645,587.4263364884908,586.0044999999999,584.5826635115089,587.2545000000001,586.0045000000001,584.7545000000001,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,NEIROETHUSDT,Sell,45,Success,6.0,True,40,45,,,Bullish,5.04%,0,0,2025-09-04T19:16:22.337285+00:00,2025-09-05T00:46:22.337285+05:30,59.8035187607541,-22.401847575057705,165.61408913534552,0.019622037887841434,,,falling,down,down,0.0002623523575004255,-0.00018028018542530158,0.0004426325429257271,0.06764275779766672,0.0654025,0.06316224220233328,0.06738250000000001,0.06540250000000002,0.06342250000000002,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,10.0,,,
signals_2025-09-05_00-47-00_STRONG.json,SPKUSDT,Buy,40,Success,17.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:16:23.193952+00:00,2025-09-05T00:46:23.193952+05:30,46.52894584403089,-61.421319796954464,-23.12831144897383,-0.1960282244595073,,,falling,up,up,-0.0002999187243166307,-0.00032217246124095376,2.225373692432307e-05,0.06107301932177693,0.060018499999999995,0.05896398067822306,0.060823499999999996,0.060018499999999995,0.059213499999999995,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,BASUSDT,Buy,40,Success,1.0,True,40,40,,,Bullish,5.04%,0,0,2025-09-04T19:16:24.051368+00:00,2025-09-05T00:46:24.051368+05:30,55.66809256407385,-0.0,96.28895694469311,-0.2706890523158475,,,falling,up,up,-5.774781684132063e-05,-8.34682058905731e-05,2.5720389049252467e-05,0.021810635920981335,0.0216202,0.021429764079018664,0.021799699999999998,0.0216202,0.0214407,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,15.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-47-00_STRONG.json,WIFUSDT,Strong Sell,60,Success,20.0,True,20,60,,,Bullish,5.04%,0,0,2025-09-04T19:16:24.936645+00:00,2025-09-05T00:46:24.936645+05:30,52.88629036748255,-15.887850467289983,80.22375781507063,-0.029605115064695778,,,falling,down,down,-0.0007538829634601285,-0.001224730762135357,0.00047084779867522853,0.7830092267270723,0.77913,0.7752507732729277,0.7823300000000002,0.7791300000000001,0.77593,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
