source_file,coin,signal,confidence,entry_price,signal_time_utc,signal_time_ist,is_buy,tp_price,sl_price,atr_used_5m,trail_distance,FixedOutcome,FixedExitPrice,FixedExitTime,FixedGrossProfitUSDT,FixedNetProfitUSDT,FixedProfitPctOnMargin,FixedTimeToExitMin,TrailOutcome,TrailExitPrice,TrailExitTime,TrailGrossProfitUSDT,TrailNetProfitUSDT,TrailProfitPctOnMargin,TrailMaxFavorableMovePct,TrailTimeToExitMin
TotalStrong_2025-09-13_13-59-43.csv,ETHFIUSDT,Strong Sell,70,1.2589,2025-09-10T19:39:05.143252+00:00,2025-09-11T01:09:05.143252+05:30,False,1.246311,1.271489,0.00550010866,0.00825016299,Fail,1.2714889999999999,1757535359999,-0.7,-0.6993,-7.0,36,Fail,1.2650501629899684,1757534219999,-0.34197427,-0.3416323,-3.419743,0.166812,17
TotalStrong_2025-09-13_13-59-43.csv,SEIUSDT,Strong Sell,72,0.3124,2025-09-10T19:39:08.596991+00:00,2025-09-11T01:09:08.596991+05:30,False,0.309276,0.315524,0.00110132247,0.001651983705,Fail,0.315524,1757535779999,-0.7,-0.6993,-7.0,43,Fail,0.31345198370505617,1757533439999,-0.23571978,-0.23548406,-2.357198,0.192061,4
TotalStrong_2025-09-13_13-59-43.csv,OPUSDT,Strong Sell,72,0.7641,2025-09-10T19:39:09.511451+00:00,2025-09-11T01:09:09.511451+05:30,False,0.756459,0.771741,0.002328337542,0.003492506313,Fail,0.771741,1757538899999,-0.7,-0.6993,-7.0,95,Fail,0.7663925063125613,1757534279999,-0.2100189,-0.20980888,-2.100189,0.157048,18
TotalStrong_2025-09-13_13-59-43.csv,DOGEUSDT,Strong Sell,66,0.23947,2025-09-10T19:52:00.314890+00:00,2025-09-11T01:22:00.314890+05:30,False,0.2370753,0.2418647,0.000960628688,0.001440943032,Fail,0.2418647,1757538119999,-0.7,-0.6993,-7.0,69,Fail,0.2408909430323779,1757535599999,-0.41535897,-0.41494361,-4.15359,0.008352,27
TotalStrong_2025-09-13_13-59-43.csv,ARBUSDT,Strong Sell,65,0.5039,2025-09-10T19:52:24.792525+00:00,2025-09-11T01:22:24.792525+05:30,False,0.498861,0.508939,0.001711011422,0.002566517133,Fail,0.508939,1757538419999,-0.7,-0.6993,-7.0,74,Fail,0.5059665171329629,1757534519999,-0.28707323,-0.28678615,-2.870732,0.099226,9
TotalStrong_2025-09-13_13-59-43.csv,NEARUSDT,Strong Buy,67,2.694,2025-09-10T20:42:11.082023+00:00,2025-09-11T02:12:11.082023+05:30,True,2.72094,2.66706,0.007943314598,0.011914971897,Success,2.72094,1757547779999,0.7,0.6993,7.0,180,Fail,2.6820850281033413,1757537339999,-0.30959467,-0.30928507,-3.095947,0.0,6
TotalStrong_2025-09-13_13-59-43.csv,TAOUSDT,Strong Buy,70,340.93,2025-09-10T20:42:14.657667+00:00,2025-09-11T02:12:14.657667+05:30,True,344.3393,337.5207,0.92290451171,1.384356767565,Success,344.33930000000004,1757541719999,0.7,0.6993,7.0,79,Success,343.6656432324353,1757544179999,0.56168429,0.56112261,5.616843,1.208459,120
TotalStrong_2025-09-13_13-59-43.csv,ARKMUSDT,Strong Buy,68,0.6179,2025-09-10T20:42:24.210365+00:00,2025-09-11T02:12:24.210365+05:30,True,0.624079,0.611721,0.003040538814,0.004560808222,Success,0.624079,1757538899999,0.7,0.6993,7.0,32,Success,0.6181391917783485,1757538359999,0.0270973,0.02707021,0.270973,0.776825,23
TotalStrong_2025-09-13_13-59-43.csv,WIFUSDT,Strong Buy,66,0.8866,2025-09-10T20:53:11.683907+00:00,2025-09-11T02:23:11.683907+05:30,True,0.895466,0.877734,0.002407166047,0.00361074907,Success,0.8954660000000001,1757548439999,0.7,0.6993,7.0,180,Success,0.8877892509298155,1757539379999,0.09389529,0.0938014,0.938953,0.541394,29
TotalStrong_2025-09-13_13-59-43.csv,TAOUSDT,Strong Buy,69,340.78,2025-09-10T20:53:31.289141+00:00,2025-09-11T02:23:31.289141+05:30,True,344.1878,337.3722,0.857188401884,1.285782602826,Success,344.1878,1757541539999,0.7,0.6993,7.0,65,Success,343.76421739717404,1757543579999,0.61299142,0.61237843,6.129914,1.253008,99
TotalStrong_2025-09-13_13-59-43.csv,ARKMUSDT,Strong Buy,68,0.6198,2025-09-10T20:53:39.025931+00:00,2025-09-11T02:23:39.025931+05:30,True,0.625998,0.613602,0.003191768998,0.004787653497,Fail,0.613602,1757540159999,-0.7,-0.6993,-7.0,42,Fail,0.6179123465031383,1757538359999,-0.21319094,-0.21297775,-2.131909,0.467893,12
TotalStrong_2025-09-13_13-59-43.csv,AVAXUSDT,Strong Buy,68,29.23,2025-09-10T21:38:13.363163+00:00,2025-09-11T03:08:13.363163+05:30,True,29.5223,28.9377,0.105747913126,0.15862186969,Fail,28.9377,1757543579999,-0.7,-0.6993,-7.0,54,Success,29.300378130310325,1757540999999,0.16854154,0.168373,1.685415,0.783442,11
TotalStrong_2025-09-13_13-59-43.csv,OMNIUSDT,Strong Buy,65,3.731,2025-09-10T21:38:41.428202+00:00,2025-09-11T03:08:41.428202+05:30,True,3.76831,3.69369,0.029967450436,0.044951175654,Fail,3.6936899999999997,1757540579999,-0.7,-0.6993,-7.0,4,Fail,3.686048824345527,1757540699999,-0.84336164,-0.84251828,-8.433616,0.0,6
TotalStrong_2025-09-13_13-59-43.csv,MUSDT,Strong Buy,66,2.0305,2025-09-10T21:53:02.193887+00:00,2025-09-11T03:23:02.193887+05:30,True,2.050805,2.010195,0.015387927313,0.02308189097,Success,2.050805,1757541719999,0.7,0.6993,7.0,8,Success,2.035418109030473,1757541899999,0.16954821,0.16937866,1.695482,1.378971,11
TotalStrong_2025-09-13_13-59-43.csv,NAORISUSDT,Strong Buy,67,0.09007,2025-09-10T23:52:14.118671+00:00,2025-09-11T05:22:14.118671+05:30,True,0.0909707,0.0891693,0.003919761284,0.005879641926,Fail,0.08916929999999999,1757548439999,-0.7,-0.6993,-7.0,1,Fail,0.08419035807446831,1757548439999,-4.56950077,-4.56493127,-45.695008,0.0,1
TotalStrong_2025-09-13_13-59-43.csv,SEIUSDT,Strong Buy,67,0.3276,2025-09-11T02:27:45.303105+00:00,2025-09-11T07:57:45.303105+05:30,True,0.330876,0.324324,0.001286905529,0.001930358293,Fail,0.324324,1757563979999,-0.7,-0.6993,-7.0,105,Fail,0.32676964170676037,1757559599999,-0.17742699,-0.17724956,-1.77427,0.335775,32
TotalStrong_2025-09-13_13-59-43.csv,BIOUSDT,Strong Buy,68,0.15401,2025-09-11T02:51:14.631586+00:00,2025-09-11T08:21:14.631586+05:30,True,0.1555501,0.1524699,0.000934151118,0.001401226677,Success,0.1555501,1757559659999,0.7,0.6993,7.0,9,Fail,0.152948773322544,1757559359999,-0.48234444,-0.4818621,-4.823444,0.220765,4
