Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
NAORISUSDT,Buy,41,0.07795,0.07851124,0.0756115,Bullish,2025-09-13T09:25:33.036181+00:00,2025-09-13T14:55:33.036181+05:30,Success,3,3.0,,5.04%,38.42855634094214,-0.0007403802706397872,-0.000662891161192083,-7.748910944770418e-05,0.08093049240293453,0.079189,0.07744750759706547,0.14427062733314458,-131.29200896191176,5.0,3.0,0.0,0.08054160877746352,0.0012494932884157968,0.07876515625,-0.00016499999999999848,-0.2094834922643837,,-21.03820086644666,,falling,-16454580.0,18.0,0.0,8.0,10.0,0.0,5.0,0.14427062733314458,38.42855634094214,-131.29200896191176,-7.748910944770418e-05,0.0012494932884157968,0.07876515625,,-21.03820086644666,,3.0,0.0,falling,-16454580.0,-0.00016499999999999848,-0.2094834922643837,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
PENGUUSDT,Buy,48,0.036865,0.03713043,0.03575905,Bullish,2025-09-13T09:25:35.427298+00:00,2025-09-13T14:55:35.427298+05:30,Success,7,7.0,,5.04%,73.3772510050551,0.00011744773769872124,7.336266616801788e-05,4.408507153070337e-05,0.036941366309286225,0.0365385,0.03613563369071378,0.9052212762324,137.29940585263046,5.0,3.0,0.0,0.036517949411550885,9.89054044432013e-05,0.036774703125,5.1828125000000225e-05,0.1409341764740629,,33.44836975696418,,rising,272118280.0,8.0,14.697511654628393,15.0,5.0,0.0,5.0,0.9052212762324,73.3772510050551,137.29940585263046,4.408507153070337e-05,9.89054044432013e-05,0.036774703125,,33.44836975696418,,3.0,0.0,rising,272118280.0,5.1828125000000225e-05,0.1409341764740629,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.3}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
FARTCOINUSDT,Buy,60,0.9137,0.92027864,0.886289,Bullish,2025-09-13T09:25:36.626553+00:00,2025-09-13T14:55:36.626553+05:30,Success,8,8.0,,5.04%,74.32375942147415,0.0028097359283724144,0.001726909078568579,0.0010828268498038354,0.9149785824873983,0.9047449999999999,0.8945114175126015,0.9375300639354418,147.852339783175,5.0,3.0,0.0,0.9046816193386722,0.002686476381553526,0.9115421875,0.0008875000000001521,0.09736247122409264,,30.41418411362343,,rising,7859465.199999999,8.0,18.67358007453015,15.0,5.0,0.0,5.0,0.9375300639354418,74.32375942147415,147.852339783175,0.0010828268498038354,0.002686476381553526,0.9115421875,,30.41418411362343,,3.0,0.0,rising,7859465.199999999,0.0008875000000001521,0.09736247122409264,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,52.0,60.0,0.0008875000000001521,0.09736247122409264,False,0.8061316728775126,0.09736247122409264,False,conditions_not_met,,,,
1000BONKUSDT,Strong Buy,68,0.026648,0.02683987,0.02584856,Bullish,2025-09-13T09:25:39.017286+00:00,2025-09-13T14:55:39.017286+05:30,Success,13,13.0,,5.04%,76.27484376360628,0.0001535090305453228,0.00010167496267732404,5.183406786799877e-05,0.026723584144436107,0.02622895,0.025734315855563895,0.9235959089295452,136.122504785343,5.0,3.0,0.0,0.02616884887942695,0.00010972052044006715,0.026579453125000003,6.295312500000441e-05,0.23684883471433127,,42.2356068647637,,rising,391752192.0,8.0,20.0,15.0,5.0,0.0,5.0,0.9235959089295452,76.27484376360628,136.122504785343,5.183406786799877e-05,0.00010972052044006715,0.026579453125000003,,42.2356068647637,,3.0,0.0,rising,391752192.0,6.295312500000441e-05,0.23684883471433127,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,6.295312500000441e-05,0.23684883471433127,True,0.9448381699266946,0.23684883471433127,False,,61.0,68.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
WIFUSDT,Strong Buy,68,0.9774,0.98443728,0.948078,Bullish,2025-09-13T09:25:41.379911+00:00,2025-09-13T14:55:41.379911+05:30,Success,142,142.0,,5.04%,88.80182444133175,0.005823332806591197,0.0035300252589698317,0.0022933075476213654,0.9781300700247147,0.9594900000000001,0.9408499299752854,0.9804166501588591,154.66969227524254,5.0,3.0,0.0,0.9579714035563363,0.00298863030836505,0.971959375,0.0029671874999999126,0.30527896291960893,,60.05291057679408,,rising,18723908.1,8.0,20.0,15.0,5.0,0.0,5.0,0.9804166501588591,88.80182444133175,154.66969227524254,0.0022933075476213654,0.00298863030836505,0.971959375,,60.05291057679408,,3.0,0.0,rising,18723908.1,0.0029671874999999126,0.30527896291960893,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.0029671874999999126,0.30527896291960893,True,1.5,0.30527896291960893,False,,61.0,68.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
LINEAUSDT,Buy,46,0.02345,0.02361884,0.0227465,Bullish,2025-09-13T09:25:43.767268+00:00,2025-09-13T14:55:43.767268+05:30,Success,28,28.0,,5.04%,45.62960501171695,2.4706557886802066e-05,7.786418285090183e-05,-5.3157624964099765e-05,0.02385494253226121,0.023637,0.023419057467738785,0.07098782403823652,-152.947045827097,5.0,3.0,0.0,0.023402716750601182,0.00015681017472485734,0.02360421875,-5.6718750000003815e-05,-0.24029073192690953,,4.450191789747205,,falling,-88543791.0,12.0,4.0,15.0,10.0,0.0,5.0,0.07098782403823652,45.62960501171695,-152.947045827097,-5.3157624964099765e-05,0.00015681017472485734,0.02360421875,,4.450191789747205,,3.0,0.0,falling,-88543791.0,-5.6718750000003815e-05,-0.24029073192690953,5.039999999999999,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
AAVEUSDT,Buy,61,318.82,321.115504,309.2554,Bullish,2025-09-13T09:25:44.964357+00:00,2025-09-13T14:55:44.964357+05:30,Success,242,242.0,,5.04%,71.20241949319329,0.443103223762364,0.22223517050770758,0.22086805325465642,318.91600665519474,317.1475,315.3789933448052,0.9728565750904202,175.79167568347165,5.0,3.0,0.0,317.316126024086,0.4773852193015053,317.8490625,0.17015624999993406,0.0535336642686917,,23.218747913027276,,rising,11228.4,8.0,20.0,15.0,5.0,0.0,5.0,0.9728565750904202,71.20241949319329,175.79167568347165,0.22086805325465642,0.4773852193015053,317.8490625,,23.218747913027276,,3.0,0.0,rising,11228.4,0.17015624999993406,0.0535336642686917,5.039999999999987,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,61,53.0,61.0,0.17015624999993406,0.0535336642686917,False,0.9253242217168912,0.0535336642686917,False,conditions_not_met,,,,
MUSDT,Buy,42,2.2895,2.3059844,2.220815,Bullish,2025-09-13T09:25:46.165122+00:00,2025-09-13T14:55:46.165122+05:30,Success,58,58.0,,5.04%,64.55865339901911,0.01098325223960206,0.007121396545440422,0.003861855694161637,2.3089094806750903,2.261405,2.2139005193249095,0.7957089478796467,100.375126576454,5.0,3.0,0.0,2.2617945912509705,0.018779085518169224,2.2931921875,0.0005515625000001023,0.024052170725446548,,21.708776645802352,,rising,1288181.0,8.0,8.93551917478648,15.0,5.0,0.0,5.0,0.7957089478796467,64.55865339901911,100.375126576454,0.003861855694161637,0.018779085518169224,2.2931921875,,21.708776645802352,,3.0,0.0,rising,1288181.0,0.0005515625000001023,0.024052170725446548,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.06}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
YGGUSDT,Buy,43,0.2297,0.23135384,0.222809,Bullish,2025-09-13T09:25:47.335765+00:00,2025-09-13T14:55:47.335765+05:30,Success,5,5.0,,5.04%,62.609855458536934,0.001270479398020774,0.0007356278766826972,0.0005348515213380768,0.23169054321540763,0.22546999999999998,0.21924945678459232,0.8400024606792159,102.86970119606055,5.0,3.0,0.0,0.2251433146939516,0.0021405355304328203,0.22995468749999998,0.000382812499999996,0.1664730143846257,,15.170958928783328,,rising,9250045.0,8.0,9.996834123803724,15.0,5.0,0.0,5.0,0.8400024606792159,62.609855458536934,102.86970119606055,0.0005348515213380768,0.0021405355304328203,0.22995468749999998,,15.170958928783328,,3.0,0.0,rising,9250045.0,0.000382812499999996,0.1664730143846257,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
1000SHIBUSDT,Strong Buy,68,0.014386,0.01448958,0.01395442,Bullish,2025-09-13T09:25:48.537963+00:00,2025-09-13T14:55:48.537963+05:30,Success,5,5.0,,5.04%,81.75786372795388,6.164318877621526e-05,3.325859011638786e-05,2.8384598659827397e-05,0.014393688019561274,0.0141649,0.013936111980438724,0.9831983781842739,159.92181278505896,5.0,3.0,0.0,0.01415207307404583,3.9076818697493476e-05,0.014321984375,3.0015624999999227e-05,0.20957727793917683,,39.86183114309649,,rising,521461785.0,8.0,20.0,15.0,5.0,0.0,5.0,0.9831983781842739,81.75786372795388,159.92181278505896,2.8384598659827397e-05,3.9076818697493476e-05,0.014321984375,,39.86183114309649,,3.0,0.0,rising,521461785.0,3.0015624999999227e-05,0.20957727793917683,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,3.0015624999999227e-05,0.20957727793917683,True,1.4527589300225243,0.20957727793917683,False,,61.0,68.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
VELVETUSDT,Buy,53,0.1567,0.15782824,0.151999,Bullish,2025-09-13T09:25:50.929083+00:00,2025-09-13T14:55:50.929083+05:30,Fail,10,,10.0,5.04%,29.872032261591713,-0.006300831453117439,-0.006012807605358348,-0.0002880238477590913,0.1808574977499516,0.16552450000000002,0.15019150225004843,0.2122382673007346,-99.1037062955886,5.0,3.0,0.0,0.17322628610230145,0.004462014909218774,0.15496765625000003,-0.0006832812500000007,-0.44091861910701163,,-37.92252350162886,,falling,-23638769.0,18.0,0.0,8.0,10.0,12.0,5.0,0.2122382673007346,29.872032261591713,-99.1037062955886,-0.0002880238477590913,0.004462014909218774,0.15496765625000003,,-37.92252350162886,,3.0,0.0,falling,-23638769.0,-0.0006832812500000007,-0.44091861910701163,5.040000000000012,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 12, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}]}",False,hma_not_aligned,,Buy,53,,,-0.0006832812500000007,-0.44091861910701163,,,,,,,,,1.0
